iter	Logloss
0	0.6065254504
1	0.5363747709
2	0.480200725
3	0.4325070826
4	0.3911392871
5	0.3546672853
6	0.3292820732
7	0.3044158165
8	0.2905192562
9	0.2728805128
10	0.2645125246
11	0.2492885306
12	0.238472008
13	0.2284949199
14	0.2178235999
15	0.2092570253
16	0.2019188782
17	0.1907585325
18	0.1841210233
19	0.1748334321
20	0.1700317248
21	0.163179062
22	0.1578397791
23	0.152672548
24	0.1496491465
25	0.1437290719
26	0.139625362
27	0.1354855148
28	0.1307667884
29	0.1280280883
30	0.1246883586
31	0.1203861252
32	0.1174397683
33	0.1133702056
34	0.1119683833
35	0.1094593053
36	0.1059983891
37	0.1028944385
38	0.09950992197
39	0.09750548578
40	0.09385252084
41	0.09090910937
42	0.08885729337
43	0.08627923142
44	0.08336079295
45	0.0813728994
46	0.07917076784
47	0.07876553344
48	0.07679748344
49	0.074541378
