iter	Passed	Remaining
0	158	157896
1	161	80559
2	164	54820
3	168	41987
4	171	34046
5	174	28934
6	190	27035
7	204	25389
8	208	22998
9	212	21065
10	216	19448
11	219	18095
12	222	16916
13	228	16100
14	233	15362
15	241	14879
16	248	14361
17	252	13763
18	254	13141
19	297	14563
20	312	14573
21	316	14064
22	353	14999
23	356	14495
24	360	14046
25	364	13662
26	367	13260
27	391	13602
28	395	13243
29	398	12894
30	405	12686
31	419	12694
32	423	12410
33	431	12252
34	434	11991
35	441	11809
36	469	12231
37	472	11971
38	476	11736
39	481	11548
40	496	11606
41	498	11379
42	502	11186
43	506	11000
44	509	10818
45	522	10843
46	536	10873
47	565	11211
48	568	11037
49	572	10872
50	577	10752
51	581	10595
52	590	10545
53	604	10590
54	609	10468
55	613	10346
56	618	10224
57	642	10436
58	672	10727
59	703	11017
60	707	10888
61	711	10760
62	744	11072
63	746	10917
64	749	10779
65	754	10678
66	789	10992
67	798	10942
68	802	10825
69	837	11131
70	856	11200
71	866	11172
72	895	11368
73	898	11237
74	901	11115
75	922	11213
76	952	11418
77	956	11306
78	963	11232
79	977	11242
80	1020	11577
81	1034	11575
82	1037	11463
83	1042	11366
84	1047	11278
85	1060	11266
86	1063	11165
87	1070	11098
88	1088	11137
89	1091	11040
90	1097	10967
91	1113	10992
92	1120	10923
93	1125	10851
94	1166	11109
95	1177	11088
96	1182	11005
97	1202	11068
98	1206	10977
99	1211	10903
100	1241	11049
101	1244	10957
102	1254	10927
103	1302	11217
104	1310	11174
105	1327	11198
106	1357	11327
107	1373	11343
108	1404	11481
109	1411	11417
110	1426	11424
111	1434	11374
112	1448	11369
113	1452	11291
114	1490	11467
115	1513	11532
116	1517	11454
117	1521	11373
118	1555	11517
119	1559	11433
120	1583	11506
121	1586	11414
122	1588	11328
123	1600	11308
124	1603	11225
125	1608	11154
126	1612	11081
127	1616	11015
128	1624	10971
129	1628	10896
130	1634	10844
131	1649	10844
132	1652	10769
133	1663	10750
134	1675	10737
135	1680	10677
136	1687	10627
137	1699	10617
138	1704	10559
139	1709	10501
140	1714	10446
141	1719	10392
142	1750	10490
143	1775	10555
144	1781	10504
145	1801	10540
146	1805	10477
147	1816	10458
148	1820	10395
149	1826	10352
150	1830	10293
151	1839	10261
152	1842	10199
153	1853	10180
154	1856	10119
155	1859	10059
156	1879	10089
157	1896	10106
158	1910	10105
159	1913	10046
160	1916	9988
161	1966	10170
162	2013	10341
163	2019	10296
164	2025	10248
165	2045	10279
166	2051	10231
167	2054	10174
168	2069	10173
169	2084	10179
170	2089	10129
171	2112	10170
172	2139	10228
173	2169	10298
174	2173	10245
175	2176	10190
176	2179	10134
177	2198	10150
178	2224	10204
179	2228	10151
180	2232	10101
181	2235	10045
182	2238	9993
183	2241	9940
184	2266	9984
185	2268	9929
186	2272	9879
187	2276	9830
188	2278	9777
189	2280	9724
190	2285	9678
191	2290	9639
192	2320	9704
193	2323	9653
194	2326	9603
195	2349	9639
196	2353	9592
197	2355	9542
198	2358	9493
199	2405	9622
200	2409	9576
201	2411	9527
202	2415	9481
203	2420	9445
204	2458	9534
205	2473	9534
206	2477	9489
207	2480	9446
208	2484	9401
209	2487	9357
210	2530	9461
211	2534	9419
212	2538	9380
213	2544	9345
214	2547	9302
215	2554	9272
216	2557	9228
217	2562	9191
218	2579	9199
219	2582	9156
220	2591	9136
221	2595	9094
222	2598	9053
223	2634	9128
224	2650	9131
225	2663	9120
226	2667	9084
227	2670	9042
228	2675	9007
229	2685	8990
230	2697	8981
231	2727	9029
232	2729	8986
233	2757	9027
234	2760	8985
235	2764	8950
236	2770	8920
237	2774	8881
238	2777	8845
239	2813	8909
240	2816	8870
241	2819	8830
242	2822	8793
243	2856	8850
244	2859	8811
